Height,Input,Output,Sum,Time
66306,['1NV2K1Gjdk3RPbtp1gqdhmXHmXKTiGwMAE'],"['1M3fihqdJdHZJLSGNJq36u12BByxvATb8', '360', '1GDTeKU2iHkVApaYqks4YxYkikkWxxvQwp', '5']",['365'],2010-07-13 02:44:47
66306,['1M3fihqdJdHZJLSGNJq36u12BByxvATb8'],"['17AFa4oh5ToSSVRaz7kfvutRLNrxseaT8G', '5', '1C8HG21CUSTBhQMmJnzyNU2kfe4q2YvExe', '355']",['360'],2010-07-13 02:44:47
66311,"['1HiBfKnX2ky4Vs5GLFaqhXjMM7dYETjn4m', '17wqixyMVo1wBmm4BqCjY8CUkPdGmnvn7n', '1NEF4SRNLiN4m2w8qmH4rMe2E3YdEicVYt', '17hhHx7yVCGdfyfRR5Ga5wtZvewE42BBs9']","['16dPp5dtC16vDwwLRWcYN8cnPV2dDkKsLm', '49']",['49'],2010-07-13 02:55:28
66311,['1J4m1xRj6JrkzYrBwVH1vCMRoCxbKoohZz'],"['1Fuee1HcLif8H6dXmkNMsVBUyuFS5VFRmb', '50']",['50'],2010-07-13 02:55:28
66311,['1C8HG21CUSTBhQMmJnzyNU2kfe4q2YvExe'],"['1KiYgbWBxx7QqscWbedu7qr735aosoXW6S', '350', '1HxRM1qLBqbtAF8md4qMPt1bw8MAwYbC7', '5']",['355'],2010-07-13 02:55:28
66311,['1KiYgbWBxx7QqscWbedu7qr735aosoXW6S'],"['14yunMRR4WYFEvTJFzWEbpWdK7YNDFrrLv', '5', '1FNQaw9TSN3sGhLhp2idr4bF7tkAREdxoZ', '345']",['350'],2010-07-13 02:55:28
66315,"['15fLzrzRnMhAXb4uoizuvDgcGt8ZH46X9v', '1D71fLYAuP1u51XpFWjfVRzEDyMrNxuvM']","['1HQShudZWvg2oH14qMQLFKswbLmLb5QBdS', '5', '1Er2uuDGng3cP5xVKsd7L6R5JFPXKPCz5D', '41']",['46'],2010-07-13 03:05:59
66315,['1FNQaw9TSN3sGhLhp2idr4bF7tkAREdxoZ'],"['1JKMm6JaVpQESkzyzPopFRPQBEGUMa69Cz', '5', '1AiGtqEXnkx8N4hSZjpwU37Sit8pQaEQ4V', '340']",['345'],2010-07-13 03:05:59
66315,['14riKxNo1LizjpSLFHwjaeraQh5CoVvV2X'],"['18xcVPigrMpWcRg3uXCkAz3aZXKKmjsoNK', '2.4', '1QKPmWSpvsau25p8CSubYs9xA2WPn96S1d', '1']",['3.4'],2010-07-13 03:05:59
66315,['1J6P6jJt73CfRRWcVwRyNZnjTS7KMkdSeP'],"['1JfpwUMHegqE64DGXDbGy8gYyo9RtKAJeT', '2.5', '15VjRaDX9zpbA8LVnbrCAFzrVzN7ixHNsC', '2.5']",['5'],2010-07-13 03:05:59
66315,['16dPp5dtC16vDwwLRWcYN8cnPV2dDkKsLm'],"['181nGFh8wrRVZzkc9cUtGKNpLhDsH8MQXx', '49']",['49'],2010-07-13 03:05:59
66315,['12SH6UEGPfmonV6BCt8Ftw9Y2Q6fzdAu7S'],"['1QAnQ5qBi5S8baJWPEuCiYLVA4zGGiyAj3', '4.85', '1FpVTHHs47yj3PRV8H7GtBaYBrr5vHMAuX', '0.1']",['4.95'],2010-07-13 03:05:59
66315,['1AiGtqEXnkx8N4hSZjpwU37Sit8pQaEQ4V'],"['1FMN1trDdPpP7G5Vp9nrRy4ciG9BS9wGfg', '335', '19ojCe4g4XJvjgCsArfeg9rq1z2DAMpFUQ', '5']",['340'],2010-07-13 03:05:59
66315,['1FEidcfgXPD9WgNSesDDSNTvFmEjVcg7T1'],"['1MArqhZBKVdqFfm7oYhUzGpfvfQagsB1dR', '5']",['5'],2010-07-13 03:05:59
66315,['1BRjLGxA8GhYZDWqTA2xfoLmgkgV2tSaGK'],"['18rt9xU4WjurYjeCPyeEtZYqhMpuM6EXxc', '5']",['5'],2010-07-13 03:05:59
