block_date,daily_trans,daily_btc
2011-08-27,6232,2705268.2656054
2011-08-28,5469,183284.6917419
2011-08-29,7951,237169.60501864
2011-08-30,7652,236565.50989443
2011-08-31,7124,263743.61532267
2011-09-01,7067,328411.24296324
2011-09-02,6867,253101.06449255
2011-09-03,5773,224174.81817532
2011-09-04,7120,1738492.11546151
2011-09-05,6875,2265611.20316853
2011-09-06,7667,3145047.48630942
2011-09-07,6946,629166.36146454
2011-09-08,6363,386220.15144125
2011-09-09,7215,400185.45102362
2011-09-10,5851,264831.0950026
2011-09-11,6312,1013479.77446431
2011-09-12,6435,620541.51912917
2011-09-13,6372,350593.22145011
2011-09-14,6047,295158.89857602
2011-09-15,6310,291345.33875417
2011-09-16,6086,668518.90890857
2011-09-17,5311,347137.20750798
2011-09-18,5824,290937.63581786
2011-09-19,6520,328326.04356081
2011-09-20,7999,346253.65157385
2011-09-21,7537,388625.07669057
2011-09-22,5981,303493.29593494
2011-09-23,6189,338249.58377945
2011-09-24,5596,225603.83042044
2011-09-25,5581,289291.36174529
2011-09-26,5497,278308.23360253
2011-09-27,5964,423375.02157857
2011-09-28,5866,350291.47885625
2011-09-29,5456,327261.16769802
2011-09-30,5739,286246.93598831
2011-10-01,5226,411913.3991076
2011-10-02,4904,315549.07982987
2011-10-03,6372,401349.11188622
2011-10-04,5694,413746.95987803
2011-10-05,5620,399904.44486045
2011-10-06,5780,528917.72776769
2011-10-07,5529,375849.6829457
2011-10-08,5274,277346.83727421
2011-10-09,5327,297642.86082482
2011-10-10,5755,310949.73743782
2011-10-11,5830,328314.81446226
2011-10-12,5823,315469.32285574
2011-10-13,4884,299900.4320011
2011-10-14,5963,270017.12563348
2011-10-15,5437,376048.29247041
2011-10-16,4852,254765.10904202
2011-10-17,5649,478967.97253138
2011-10-18,4733,337551.29904311
2011-10-19,4988,301583.76513446
2011-10-20,4522,292191.91227111
2011-10-21,5079,561380.40436427
2011-10-22,5009,561244.71304888
2011-10-23,5493,564427.85658524
2011-10-24,5798,363390.02549555
2011-10-25,5088,374686.61380253
2011-10-26,5147,423482.1555836
2011-10-27,4570,503094.19362462
2011-10-28,5008,447760.422824
2011-10-29,5478,433819.62209844
2011-10-30,4858,206552.2034393
2011-10-31,5046,382425.38903258997
2011-11-01,5615,532192.96410634
2011-11-02,5829,400838.80997098
2011-11-03,6120,348695.27002404
2011-11-04,6385,392685.26112122
2011-11-05,5776,284384.62066884
2011-11-06,4884,221883.65787434
2011-11-07,5355,262409.429708
2011-11-08,5835,1112821.51463878
2011-11-09,6280,971184.36574112
2011-11-10,6391,354320.32956195
2011-11-11,4967,299237.43413298
2011-11-12,4978,259741.39489423
2011-11-13,5219,242578.54823028
2011-11-14,5758,349689.46916323
2011-11-15,5933,351702.63093922
2011-11-16,5908,2025315.99923491
2011-11-17,4811,3273664.86840598
2011-11-18,5031,5066542.23432948
2011-11-19,4591,4119649.39373999
2011-11-20,4972,1533067.97804363
2011-11-21,4645,1689227.45648893
2011-11-22,5345,3587507.02588206
2011-11-23,5458,1562999.67918899
2011-11-24,4894,1511126.03317521
2011-11-25,5343,1081373.74078861
2011-11-26,4625,1597138.04449001
2011-11-27,4941,1794839.80832966
2011-11-28,5796,4007045.59894688
2011-11-29,6273,3939323.59180813
2011-11-30,6687,6579082.07232968
2011-12-01,6163,2114917.34083786
2011-12-02,6172,5485193.22155652
2011-12-03,5496,3498008.0712952
2011-12-04,5325,2941017.00653277
2011-12-05,6015,2960463.93486166
2011-12-06,7741,6892163.36684615
2011-12-07,6076,5605101.97367595
2011-12-08,5597,4592828.43660935
2011-12-09,5431,2000223.98433756
2011-12-10,5549,1140063.91613553
2011-12-11,5164,846561.95187673
2011-12-12,4632,729086.02842836
2011-12-13,5306,349150.14757103
2011-12-14,5496,428062.39269506
2011-12-15,4715,446316.16376592
2011-12-16,5140,483528.56439564
2011-12-17,4786,346974.39493572
2011-12-18,4503,334187.08639201
2011-12-19,5576,465698.6093742
2011-12-20,6168,525443.91383758
2011-12-21,5477,573452.96055092
2011-12-22,5649,437095.53759539
2011-12-23,5497,256726.88972079
2011-12-24,4546,310856.94881301
2011-12-25,5045,292450.92916539003
2011-12-26,5520,705953.40811721
2011-12-27,5044,660137.74473241
2011-12-28,4892,275467.7378585
2011-12-29,5019,500611.93262566
2011-12-30,4947,277912.22889307
2011-12-31,4954,261835.13857393
2012-01-01,4832,338643.45887044
2012-01-02,5210,254291.05837179
2012-01-03,5581,261715.55443824
2012-01-04,5674,407265.50461576
2012-01-05,6757,668079.44144596
2012-01-06,6476,603238.94239654
2012-01-07,5757,313107.19202183
2012-01-08,6253,348748.28083495
2012-01-09,5881,440563.69744311
2012-01-10,6487,386440.37344271
2012-01-11,6981,380152.6613865
2012-01-12,6568,357432.77536598
2012-01-13,6654,400279.37403986
2012-01-14,6669,338281.70711823
2012-01-15,6177,269642.31668066
2012-01-16,6792,427168.13686835
2012-01-17,6662,443398.12092722
2012-01-18,6348,358919.26780875
2012-01-19,6787,396433.06527264
2012-01-20,6606,356596.66716905
2012-01-21,6202,298781.63474112
2012-01-22,5162,271424.86419522
2012-01-23,5987,285420.28390777
2012-01-24,7074,371485.87767167
2012-01-25,7848,410981.90106407
2012-01-26,6480,416847.93521432
2012-01-27,6127,351902.97899886
2012-01-28,5781,247278.61804456
2012-01-29,6124,335280.07237196
2012-01-30,6050,329947.08446513
2012-01-31,6746,340316.43867739
2012-02-01,6300,422411.16702541
2012-02-02,7019,368506.00800731
2012-02-03,6876,378461.51697716
2012-02-04,7115,357068.83255968
2012-02-05,6624,338512.60543482
2012-02-06,5885,317809.05593368
2012-02-07,6670,314047.62854775
2012-02-08,6813,300388.45995164
2012-02-09,7371,270583.51740095
2012-02-10,8293,314390.78815381
2012-02-11,7551,451780.63527588
2012-02-12,6845,318003.55013846
2012-02-13,8912,474919.99422297
2012-02-14,9358,1351294.3660471
2012-02-15,9268,1345864.0911273
2012-02-16,9166,1574104.29973094
2012-02-17,6615,971254.82900678
2012-02-18,6395,700675.48455811
2012-02-19,5785,386244.5306643
2012-02-20,6131,426615.33543862
2012-02-21,6174,379778.41620465
2012-02-22,7086,784716.58856167
2012-02-23,7797,684412.74591955
2012-02-24,7300,603266.08184567
2012-02-25,6784,434739.08547371
2012-02-26,5605,334620.60239879
2012-02-27,6678,375323.8986994
2012-02-28,6478,366532.57088179
2012-02-29,6515,327902.7050472
2012-03-01,7024,664008.14604883
2012-03-02,7231,558324.38449004
2012-03-03,5158,388994.06649158
2012-03-04,6273,666004.42824624
2012-03-05,6896,377898.69955005
2012-03-06,6226,353920.27763902
2012-03-07,6494,374108.353183
2012-03-08,6444,519456.937472
2012-03-09,6332,590874.7851270899
2012-03-10,5312,391923.38256317
2012-03-11,5087,417361.85617109
2012-03-12,6044,617576.07203704
2012-03-13,7071,502585.88020784
2012-03-14,6809,611591.09749562
2012-03-15,6151,483506.34883887
2012-03-16,6835,498817.37524785
2012-03-17,6639,460056.03071464
2012-03-18,5885,370863.43041329
2012-03-19,6670,462574.4187725
2012-03-20,6498,485328.27942215
2012-03-21,6756,502600.74901446
2012-03-22,6432,779709.92887771
2012-03-23,6056,868271.0079764
2012-03-24,6203,808847.53898045
2012-03-25,6012,414667.51066027
2012-03-26,6562,531144.98222388
2012-03-27,6471,579844.02542544
2012-03-28,7024,666910.74658258
2012-03-29,7501,1212218.4053268
